pr_number,merged_at,author,title
31571,2024-11-18T21:34:11Z,poteto,[playground] Always upload test results in ci
31561,2024-11-18T20:38:22Z,poteto,[playground] Fixes #31331
31570,2024-11-18T16:54:11Z,mofeiZ,[compiler] repro for type inference + control flow bug
31558,2024-11-18T15:51:16Z,jackpope,[compiler] Support enableRefAsProp in jsx transform
31523,2024-11-18T15:16:37Z,poteto,[crud] Basic implementation
31554,2024-11-15T22:52:24Z,sebmarkbage,Track separate SuspendedOnAction flag by rethrowing a separate SuspenseActionException sentinel
31557,2024-11-15T22:50:50Z,poteto,[crud] Rename Effect type
31556,2024-11-15T22:49:43Z,poteto,[crud] Add enableUseResourceEffectHook flag
31555,2024-11-15T22:49:31Z,poteto,[crud] Scaffold initial types
31202,2024-11-15T18:06:39Z,mofeiZ,[compiler][be] Clean up nested function context in DCE
31203,2024-11-15T18:06:30Z,mofeiZ,[compiler][be] Patch test fixtures for evaluator
31201,2024-11-15T18:06:19Z,mofeiZ,[compiler] Lower JSXMemberExpression with LoadLocal
31200,2024-11-15T18:06:05Z,mofeiZ,[compiler] Stop using function `dependencies` in propagateScopeDeps
31521,2024-11-15T18:05:55Z,mofeiZ,[compiler] Fix: ref.current now correctly reactive
31548,2024-11-15T17:13:24Z,sebmarkbage,Log Render Phases that Never Committed
31546,2024-11-15T09:05:37Z,eps1lon,Don't dist-tag canaries with `rc`
31547,2024-11-15T04:51:51Z,sebmarkbage,Unify RootDidNotComplete and RootSuspendedWithDelay exit path 
31524,2024-11-14T22:03:59Z,gnoff,(chore): copy fix in <style> precedence error
31536,2024-11-14T21:44:29Z,sebmarkbage,"Format event with ""warning"" yellow and prefix with ""Event: """
31528,2024-11-14T21:35:08Z,sebmarkbage,"Fix Overlapping ""message"" Bug in Performance Track"
31526,2024-11-14T21:30:06Z,sebmarkbage,Log passive commit phase when it wasn't delayed
31540,2024-11-14T20:46:35Z,poteto,Export __COMPILER_RUNTIME in stable
31459,2024-11-14T20:43:36Z,poteto,[compiler] Disable emit of .tsbuildinfo
31527,2024-11-14T18:05:39Z,sebmarkbage,Use completedRenderEndTime as the start of the commit phase if it's an immediate commit
31525,2024-11-14T18:05:20Z,sebmarkbage,Separate Tracks for Components and Phases
31542,2024-11-14T16:48:33Z,acdlite,Bump RC version to 19.0.0-rc.1
31541,2024-11-14T16:48:14Z,acdlite,Turn on enableSiblingPrerendering in canary
31535,2024-11-13T20:13:47Z,poteto,Fix sizebot
31522,2024-11-13T15:57:15Z,sebmarkbage,Only log component level profiling for components that actually performed work
31519,2024-11-12T19:04:54Z,mofeiZ,[compiler] repro for reactive ref.current accesses
31518,2024-11-12T17:46:55Z,sebmarkbage,"Revert ""Performance tracks are sorted by start time"" hack"
31434,2024-11-11T22:25:37Z,rickhanlonii,Fix continuation bug
31466,2024-11-10T19:58:53Z,gnoff,update flight readme wording
31464,2024-11-09T00:07:37Z,gnoff,[Flight] Add initial readme to react-server package
31426,2024-11-07T14:53:44Z,sammy-SC,Update React Native shims to use export syntax
31439,2024-11-07T14:05:32Z,kassens,[www] set disableLegacyMode to true
31443,2024-11-06T19:00:10Z,kassens,[string-refs] cleanup string ref code
31442,2024-11-06T17:54:44Z,gsathya,[compiler] Outline JSX with non-jsx children
31441,2024-11-06T17:50:13Z,gsathya,[compiler] Outline jsx with duplicate attributes
31438,2024-11-06T17:13:44Z,kassens,[www] set disableStringRefs to true
31435,2024-11-06T15:35:23Z,sophiebits,Remove unused lastFullyObservedContext
31437,2024-11-06T14:41:18Z,kassens,"Back out ""[bundles] stop building legacy Paper renderer (#31429)"""
31414,2024-11-06T14:00:49Z,kassens,[string-refs] remove enableLogStringRefsProd flag
31415,2024-11-06T13:58:36Z,kassens,Followup: remove dead test code from #30346
31346,2024-11-06T00:25:05Z,mofeiZ,[compiler] Collect temporaries and optional chains from inner functions
31199,2024-11-06T00:22:04Z,mofeiZ,[compiler] Delete propagateScopeDeps (non-hir)
31362,2024-11-05T23:26:50Z,mofeiZ,[compiler][be] Stabilize compiler output: sort deps and decls by name
31347,2024-11-05T23:19:44Z,mofeiZ,[compiler][ez] Clean up pragma parsing for tests + playground
31350,2024-11-05T22:57:19Z,mofeiZ,[compiler][ez] tsconfig: treat all snap fixtures as modules
31349,2024-11-05T22:56:53Z,mofeiZ,[compiler][ez] Fixture repro for function hoisting bug
31348,2024-11-05T22:56:36Z,mofeiZ,[compiler] Add fixture for objectexpr computed key bug
31432,2024-11-05T21:04:03Z,kassens,[bundles] update GitHub actions for commit build branch
31429,2024-11-05T20:49:20Z,kassens,[bundles] stop building legacy Paper renderer
31431,2024-11-05T20:27:39Z,mofeiZ,[compiler] patch: rewrite scope dep/decl in inlineJsxTransform
31345,2024-11-05T20:25:54Z,mofeiZ,[compiler] bugfix for hoistable deps for nested functions
31197,2024-11-05T20:25:40Z,mofeiZ,[compiler][ez] Patch hoistability for ObjectMethods
31427,2024-11-05T20:05:04Z,sebmarkbage,"Fork the ""empty"" prepareStackTrace case for Server builds"
31430,2024-11-05T19:14:39Z,poteto,[cleanup] Remove compiler runtime-compat fixture library
31413,2024-11-04T20:30:02Z,rickhanlonii,Remove trim_trailing_whitespace from editorconfig
30346,2024-11-04T19:30:59Z,kassens,Remove enableRefAsProp feature flag
31267,2024-11-04T18:19:05Z,jackpope,[compiler] Wrap inline jsx transform codegen in conditional
31404,2024-11-04T15:46:28Z,rickhanlonii,More Unit Tests for Refs in Hidden Subtrees
31405,2024-11-01T22:17:51Z,gnoff,Reenable lazy context propagation
31403,2024-11-01T22:16:26Z,gnoff,temporarily disable lazy context propagation
31391,2024-10-31T20:47:51Z,sebmarkbage,[Flight] Handle errors during JSON stringify of console values
31379,2024-10-31T20:24:45Z,yungsters,Fix Ref Lifecycles in Hidden Subtrees
31385,2024-10-30T01:51:41Z,poteto,[compiler] Update react deps to experimental instead of beta
31384,2024-10-30T01:36:48Z,poteto,[compiler] Check if local identifier is a hook when resolving globals
31383,2024-10-30T01:36:36Z,poteto,[compiler] Ref validation repro for ImportSpecifier with renamed local
31376,2024-10-28T15:08:27Z,gsathya,[compiler][ez] Remove unused param
31344,2024-10-28T13:10:01Z,gsathya,[compiler] Handle member expr as computed property
31360,2024-10-25T23:59:52Z,mvitousek,[compiler] Fix to ref access check to ban ref?.current
31355,2024-10-25T16:17:08Z,jackpope,"Revert ""[Re-land] Make prerendering always non-blocking (#31268)"""
31336,2024-10-24T18:08:57Z,poteto,[react-compiler-runtime] Support React 17 peer dependency
31340,2024-10-23T23:29:20Z,sebmarkbage,[Flight] encodeURI filenames parsed from stack traces
31333,2024-10-23T16:13:22Z,poteto,[playground] Upgrade to Next 15 stable
31329,2024-10-23T15:38:33Z,sebmarkbage,[Flight] Allow <anonymous> stack frames to be serialized if opt-in
31332,2024-10-23T15:36:40Z,sebmarkbage,Fix error handling in `resolveClientReference`
31326,2024-10-22T23:49:10Z,poteto,remove terser from react-compiler-runtime build
28714,2024-10-22T20:07:10Z,mofeiZ,`react-hooks/rules-of-hooks`: Add support for `do/while` loops
31315,2024-10-22T17:51:58Z,poteto,chore: remove unsued deps from React Compiler Babel plugin
31314,2024-10-21T23:17:41Z,SamChou19815,[flow] Eliminate usage of more than 1-arg `React.AbstractComponent` in React codebase
31313,2024-10-21T18:52:10Z,sebmarkbage,[Flight] Support Async Modules in Server References
31304,2024-10-20T06:35:15Z,sebmarkbage,Fix timing issue with fake promise resolving sync
31303,2024-10-20T06:23:32Z,sebmarkbage,Fix types
31302,2024-10-20T06:12:06Z,sebmarkbage,[Flight] Handle bound arguments for loaded server references
31301,2024-10-20T04:02:48Z,sebmarkbage,[Flight] Align turbopack option name with webpack name
31298,2024-10-20T02:33:28Z,sebmarkbage,Expose prerender() for SSG in stable
31300,2024-10-20T01:10:26Z,sebmarkbage,[Flight] Add serverModuleMap option for mapping ServerReferences
31299,2024-10-20T00:45:20Z,sebmarkbage,Rename SSRManifest to ServerConsumerManifest
31297,2024-10-18T19:02:27Z,poteto,[ez] Update compiler issue template
31296,2024-10-18T19:02:14Z,poteto,[ci] Don't use branch name for concurrency
31294,2024-10-18T18:43:44Z,poteto,[ci] Publish compiler weekly prereleases
31282,2024-10-18T18:27:48Z,josephsavona,[compiler] InlineJSXTransform transforms jsx inside function expressions
31293,2024-10-18T18:25:36Z,poteto,[playground] Upgrade various packages
31292,2024-10-18T18:09:30Z,poteto,[playground] Remove unnecessary fs package
31291,2024-10-18T18:09:08Z,poteto,[playground] Upgrade to Next 15
31289,2024-10-18T17:32:27Z,poteto,[fixture] Update compiler to use latest package
31288,2024-10-18T17:24:30Z,poteto,[ci:compiler] Only add latest tag to non-experimental
31284,2024-10-18T04:20:14Z,poteto,[ci] Don't auto push to latest tag
31283,2024-10-17T22:12:58Z,poteto,[ci] Allow passing various params to compiler publish script
31278,2024-10-17T22:02:41Z,poteto,[compiler] Clean up publish script
30956,2024-10-17T17:15:32Z,gsathya,JSX Outlining
31241,2024-10-17T08:02:42Z,hoxyq,tests[react-devtools]: added tests for Compiler integration
31277,2024-10-16T22:44:50Z,poteto,[ez] Update references to 'forget' in react-compiler-runtime
31276,2024-10-16T18:19:01Z,yungsters,Delete `__SECRET_INTERNALS_DO_NOT_USE_OR_YOU_WILL_BE_FIRED` from React Native Renderer
31274,2024-10-16T15:45:24Z,EdmondChuiHW,Add Bridge types for Fusebox
31268,2024-10-15T20:47:02Z,jackpope,[Re-land] Make prerendering always non-blocking
31208,2024-10-15T15:17:41Z,eps1lon,[ESLint] Add test for rejected `useId` in async Components
31263,2024-10-15T13:15:27Z,hoxyq,React DevTools 6.0.0 -> 6.0.1
31196,2024-10-15T11:53:45Z,hoxyq,[DevTools] Fix React Compiler badging
31261,2024-10-15T11:46:05Z,hoxyq,fix[react-devtools]: fixed timeline profiler tests
31239,2024-10-14T16:07:09Z,poteto,[ci] Consistent cache names
31177,2024-10-14T15:20:48Z,poteto,[compiler] Use consistent version hash for npm
31175,2024-10-14T14:13:40Z,kassens,[string-refs] make disableStringRefs a dynamic www flag
31209,2024-10-13T16:57:50Z,eps1lon,Also don't cut off type and key
31178,2024-10-12T00:29:25Z,mvitousek,[compiler] Kill markReactiveIdentifier and friends
31188,2024-10-11T23:14:41Z,mvitousek,[compiler] Allow refs to be lazily initialized during render
31186,2024-10-11T20:29:34Z,poteto,Bump micromatch from 4.0.5 to 4.0.8 in /compiler
31185,2024-10-11T20:29:18Z,poteto,Bump json5 from 2.2.1 to 2.2.3 in /compiler
31176,2024-10-11T12:51:59Z,eps1lon,eslint-plugin-react-hooks: Release 5.0.0
31161,2024-10-10T22:12:47Z,kassens,[string-refs] log string ref from prod
31171,2024-10-10T19:41:08Z,mvitousek,[compiler] Represent phis with places rather than identifiers
31179,2024-10-10T18:52:34Z,sebmarkbage,Fix limit without owner stacks
31103,2024-10-10T16:23:44Z,mofeiZ,[compiler] Test fixture: non-reactive phi creates 'dangling ref' scope
31167,2024-10-10T15:40:06Z,poteto,[compiler] Consume compiled lib in react 19 app
31166,2024-10-10T15:39:54Z,poteto,[compiler] Consume compiled lib in react 18 app
31165,2024-10-10T15:39:42Z,poteto,[compiler] Compile lib
31164,2024-10-10T15:33:02Z,poteto,[compiler] Scaffold fixture apps
31159,2024-10-10T15:24:51Z,eps1lon,Fix prepare-prerelease script
31148,2024-10-10T14:53:58Z,poteto,[compiler] Scaffold fixture library
31168,2024-10-10T14:53:27Z,poteto,[prettier] Ignore compiler/target
31169,2024-10-10T13:47:32Z,gnoff,[Flight] don't emit chunks for rejected thenables after abort
31160,2024-10-10T11:36:38Z,sebmarkbage,[Flight] Don't limit objects that are children of special types
31170,2024-10-10T05:41:34Z,mvitousek,[compiler][ez] Include phi identifier in AssertValidMutableRanges
31163,2024-10-10T03:29:48Z,gnoff,[Flight] Serialize top-level Date
31062,2024-10-09T20:46:35Z,kassens,[cleanup] remove flag enableAddPropertiesFastPath
31154,2024-10-09T14:27:04Z,hoxyq,fix[react-devtools]: record timeline data only when supported
31132,2024-10-09T12:57:02Z,hoxyq,refactor[react-devtools]: flatten reload and profile config
31151,2024-10-09T12:34:01Z,hoxyq,fix[react-devtools]: remove all listeners when Agent is shutdown
31131,2024-10-09T12:32:04Z,hoxyq,fix[react-devtools]: removed redundant startProfiling call
31118,2024-10-09T12:26:16Z,hoxyq,refactor[react-devtools/fiber/renderer]: optimize durations resolution
31117,2024-10-09T12:23:23Z,hoxyq,fix[react-devtools]: update profiling status before receiving response from backend
31153,2024-10-09T08:54:34Z,hoxyq,fix[react-devtools]: wrap key string in preformatted text html element
31146,2024-10-07T22:50:07Z,poteto,[rcr] Publish react-compiler-runtime to npm
31145,2024-10-07T22:07:12Z,poteto,[rcr] Remove runtimeModule compiler option
31144,2024-10-07T21:59:33Z,poteto,[rcr] Update default runtimeModule to react-compiler-runtime
31143,2024-10-07T21:50:53Z,poteto,[rcr] Add target flag to compiler
31142,2024-10-07T20:38:06Z,poteto,[snap] Add react-compiler-runtime as a dependency
31141,2024-10-07T20:31:59Z,poteto,[snap] Remove unnecessary React.c override
31140,2024-10-07T20:31:20Z,poteto,[rcr] Reexport React.__COMPILER_RUNTIME.c or fallback to polyfill
31139,2024-10-07T20:25:04Z,poteto,[rcr] Re-export useMemoCache in top level React namespace
31137,2024-10-07T17:09:40Z,mofeiZ,[compiler][ez] Fix reanimated custom type defs for imports
31136,2024-10-07T16:39:14Z,poteto,[rcr][ez] Clean up unused $read from rcr
31066,2024-10-03T18:41:32Z,mofeiZ,[compiler][hir] Only hoist always-accessed PropertyLoads from function decls
31032,2024-10-03T17:55:59Z,mofeiZ,[compiler][hir-rewrite] Check mutability of base identifier when hoisting
31037,2024-10-02T17:30:57Z,mofeiZ,[compiler] Optional chaining for dependencies (HIR rewrite)
31101,2024-10-02T00:25:59Z,yungsters,Define `HostInstance` type for React Native
31106,2024-10-01T18:28:51Z,sebmarkbage,[Flight] Allow aborting encodeReply
31088,2024-10-01T15:00:58Z,jackpope,Disable infinite render loop detection
31059,2024-10-01T13:26:13Z,hoxyq,chore[react-devtools]: drop legacy context tests
31060,2024-10-01T13:04:05Z,hoxyq,chore[react-devtools]: add legacy mode error message to the ignore list for tests
31104,2024-09-30T19:45:13Z,sebmarkbage,[Flight] Serialize Error Values
31036,2024-09-30T16:35:25Z,mofeiZ,[compiler] Renames and no-op refactor for next PR
31082,2024-09-30T16:35:24Z,mofeiZ,[compiler][fixtures] Patch error-handling edge case in snap evaluator
31035,2024-09-30T16:35:23Z,mofeiZ,[compiler] repro for dep merging edge case (non-hir)
31034,2024-09-30T16:35:22Z,mofeiZ,[compiler][hir-rewrite] Cleanup Identifier -> IdentifierId
31033,2024-09-30T16:35:20Z,mofeiZ,"[compiler][hir-rewrite] Infer non-null props, destructure source"
31031,2024-09-30T16:35:20Z,mofeiZ,[compiler][test fixtures] Add enablePropagateDepsInHIR to forked tests
31030,2024-09-30T16:35:18Z,mofeiZ,[compiler][test fixtures] Fork more fixtures for hir-rewrite
31087,2024-09-30T16:07:54Z,hoxyq,fix[scripts/devtools/publish-release]: parse version list instead of handling 404
31081,2024-09-27T19:25:08Z,poteto,[playground] Decouple playground from compiler
31078,2024-09-26T21:44:30Z,poteto,[compiler] Fix broken tests
31083,2024-09-26T21:43:09Z,poteto,[ci] Fix incorrect sha / commit messages in manual Meta builds
31083,2024-09-26T21:43:09Z,poteto,[ci] Fix incorrect sha / commit messages in manual Meta builds
31079,2024-09-26T20:51:46Z,gnoff,[Fizz] Start initial work immediately
31080,2024-09-26T20:48:57Z,poteto,"Revert ""Make prerendering always non-blocking"""
31076,2024-09-26T16:55:46Z,jackpope,Turn on lazy context propagation for RN and RTR
31069,2024-09-26T14:42:59Z,hoxyq,fix: update release scripts for react devtools
31074,2024-09-26T14:34:38Z,poteto,[dependabot] Ignore all fixture directories
31073,2024-09-26T14:34:37Z,poteto,[dependabot] Remove stale directories from config
31047,2024-09-26T14:20:15Z,poteto,[ez] Update deprecated action
31046,2024-09-26T14:20:14Z,poteto,[ez] Make commit sha clickable for fbsource
31045,2024-09-26T14:20:13Z,poteto,[ci] Fix missing values during manual workflow dispatch
30980,2024-09-26T13:56:24Z,poteto,Bump express from 4.18.2 to 4.21.0
30463,2024-09-26T13:56:10Z,poteto,Bump ws from 6.2.2 to 6.2.3 in /scripts/release
30694,2024-09-26T13:51:12Z,poteto,Bump axios from 1.7.1 to 1.7.4 in /compiler
31039,2024-09-26T13:45:02Z,poteto,Bump rollup from 4.13.2 to 4.22.4 in /compiler
31048,2024-09-26T11:39:28Z,EdmondChuiHW,refactor: allow custom impl of backend realod-to-profile support check
31068,2024-09-26T09:17:16Z,hoxyq,fix: use public instance in Fiber renderer and expose it from getInspectorDataForViewAtPoint
31065,2024-09-25T22:20:03Z,eps1lon,[Fiber] Fix missing render times when we cancel a pending commit
31056,2024-09-25T20:31:44Z,acdlite,Make prerendering always non-blocking
31029,2024-09-25T18:33:12Z,acdlite,"Unify perform{Sync,Concurrent}WorkOnRoot implementation"
31061,2024-09-25T15:50:42Z,jackpope,Increase nested update limit to 100
31058,2024-09-25T13:38:35Z,hoxyq,React DevTools 5.3.1 -> 6.0.0
31010,2024-09-24T18:51:21Z,hoxyq,refactor: data source for errors and warnings tracking is now in Store
31009,2024-09-24T16:49:19Z,hoxyq,fix: consider alternate as a key for componentLogsEntry when inspecting raw fiber instance
31028,2024-09-23T21:39:56Z,poteto,Fix runtime_commit_artifacts workflow
31027,2024-09-23T19:38:08Z,poteto,Allow forcing a build in artifacts workflow dispatch
31027,2024-09-23T19:38:08Z,poteto,Allow forcing a build in artifacts workflow dispatch
31026,2024-09-23T18:58:22Z,poteto,Fix missing trailing / in commit artifacts workflow
31024,2024-09-23T12:25:44Z,EdmondChuiHW,Fix: profiling crashes #30661 #28838
31008,2024-09-20T18:27:12Z,sebmarkbage,"[Fiber] Track Event Time, startTransition Time and setState Time"
31011,2024-09-20T17:00:02Z,gnoff,[Fizz] Include componentStack at the root when aborting
31006,2024-09-19T22:04:07Z,jackpope,Update react-native/react-dom build directory
31003,2024-09-19T17:42:49Z,rickhanlonii,[lint] Add no-optional-chaining
31002,2024-09-19T14:47:25Z,hoxyq,chore: remove using local storage for persisting console settings on the frontend
31000,2024-09-19T14:44:34Z,hoxyq,feat: display message if user ended up opening hook script
30996,2024-09-19T14:34:24Z,jackpope,[compiler] Allow ReactElement symbol to be configured when inlining jsx
30995,2024-09-19T14:07:29Z,jackpope,[compiler] Pass through unmodified props spread when inlining jsx
30711,2024-09-18T21:44:55Z,yungsters,Build `react-dom` in `builds/facebook-fbsource`
30986,2024-09-18T17:30:33Z,hoxyq,chore: remove settings manager from react-devtools-core
30636,2024-09-18T17:26:40Z,hoxyq,feat[react-devtools/extension]: use chrome.storage to persist settings across sessions
30610,2024-09-18T17:19:01Z,hoxyq,refactor[react-devtools]: propagate settings from global hook object to frontend
30597,2024-09-18T17:16:20Z,hoxyq,chore[react-devtools]: extract some utils into separate modules to unify implementations
30596,2024-09-18T17:12:18Z,hoxyq,refactor[react-devtools]: move console patching to global hook
30566,2024-09-18T17:02:13Z,hoxyq,refactor[react-devtools]: remove browserTheme from ConsolePatchSettings
30564,2024-09-18T16:37:01Z,hoxyq,feat[react-devtools]: add settings to global hook object
30867,2024-09-18T15:51:36Z,jackpope,[compiler] Add JSX inlining optimization
30984,2024-09-17T20:36:10Z,sebmarkbage,[Fiber] Color Performance Track Entries by Self Time
30983,2024-09-17T20:14:57Z,sebmarkbage,[Fiber] Log Component Effects to Performance Track
30991,2024-09-17T19:25:00Z,sebmarkbage,Don't read currentTransition back from internals
30981,2024-09-17T19:12:16Z,sebmarkbage,[Fiber] Optimize enableProfilerCommitHooks by Collecting Elapsed Effect Duration in Module Scope
30977,2024-09-16T19:56:24Z,mofeiZ,[compiler][eslint] Report bailout diagnostics with correct column #
30971,2024-09-16T19:00:18Z,sebmarkbage,Remove execution context check from shouldProfile
30922,2024-09-16T18:13:01Z,mvitousek,[compiler] Implement support for hoisted and recursive functions
30917,2024-09-16T17:57:15Z,mvitousek,"[compiler] Allow all hooks to take callbacks which access refs, but ban hooks from taking direct ref value arguments"
30902,2024-09-16T17:57:13Z,mvitousek,[compiler] Improve handling of refs
30970,2024-09-16T16:51:00Z,javache,[react-native] Fix misleading crash when view config is not found
30969,2024-09-16T16:43:40Z,hoxyq,fix: add Error prefix to Error objects names
30967,2024-09-16T15:45:51Z,sebmarkbage,[Fiber] Log Component Renders to Custom Performance Track
30966,2024-09-16T15:10:05Z,sebmarkbage,[Fiber] Move Profiler onPostCommit processing of passive effect durations to plain passive effect
30960,2024-09-16T15:09:40Z,sebmarkbage,Add enableComponentPerformanceTrack Flag
30968,2024-09-16T13:47:57Z,hoxyq,fix[rdt/fiber/renderer.js]: getCurrentFiber can be injected as null
30961,2024-09-14T16:26:01Z,gnoff,[Flight] Start initial work immediately
28255,2024-09-14T15:18:28Z,gnoff,Fix nodeName to UPPERCASE in insertStylesheetIntoRoot
30957,2024-09-14T01:51:52Z,sebmarkbage,[Fiber] Profiler - Use two separate functions instead of branch by flag
30958,2024-09-13T22:55:42Z,gnoff,[Flight] properly track pendingChunks when changing environment names
30959,2024-09-13T20:33:05Z,sebmarkbage,[Flight] Respect `async` flag in client manifest
30951,2024-09-13T20:29:40Z,josephsavona,fix: restore selection should consider the window of the container
30954,2024-09-13T20:18:15Z,rickhanlonii,Call cleanup of insertion effects when hidden
30920,2024-09-13T19:38:25Z,mvitousek,[compiler] Factor out function effects from reference effects
30942,2024-09-13T16:27:00Z,sebmarkbage,[Fiber] Set profiler values to doubles
30894,2024-09-12T21:41:01Z,mofeiZ,[compiler][rewrite] PropagateScopeDeps hir rewrite
30949,2024-09-12T21:41:00Z,mofeiZ,[compiler] Fork fixtures for enablePropagateDepsInHIR
30948,2024-09-12T21:40:59Z,mofeiZ,[compiler][ez] Add entrypoints to ssa fixtures
30933,2024-09-12T21:19:35Z,sebmarkbage,[Flight] Track owner/stack where the Flight Client reads as the root
30935,2024-09-12T17:01:56Z,sebmarkbage,Enable lazy context propagation
30952,2024-09-12T16:33:20Z,gnoff,disable `enableSiblingPrerendering` in experimental channel
30934,2024-09-11T15:41:54Z,acdlite,Start prerendering Suspense retries immediately
30947,2024-09-11T15:35:01Z,sebmarkbage,[Fizz] Use RequestInstance constructor for resuming
30938,2024-09-10T23:42:19Z,sebmarkbage,[Flight] Unwrap lazy before reading the value
30936,2024-09-10T20:46:35Z,sebmarkbage,[Fiber] Don't call performance.now() twice in a row
30879,2024-09-10T17:23:32Z,acdlite,Prerender during same pass if blocked anyway
30888,2024-09-10T16:25:31Z,josephsavona,[compiler] Validate type configs for hooks/non-hooks
30930,2024-09-10T14:37:29Z,sebmarkbage,[DevTools] Implement getComponentStack and onErrorOrWarning for replayed Flight logs
30832,2024-09-10T04:09:42Z,sebmarkbage,[DevTools] Use Unicode Atom Symbol instead of Atom Emoji
30929,2024-09-10T02:07:36Z,sebmarkbage,[Flight] Reset currentOwnerInDEV
30926,2024-09-09T23:52:05Z,sebmarkbage,[Flight] Add react-stack-bottom-frame to console replaying
30925,2024-09-09T19:33:30Z,sebmarkbage,[DevTools] Improve Layering Between Console and Renderer
30905,2024-09-09T19:12:28Z,sebmarkbage,[DevTools] Add Map for Server Component Logs
30900,2024-09-09T19:12:13Z,sebmarkbage,[DevTools] Delete fiberToFiberInstanceMap
30910,2024-09-09T19:11:57Z,sebmarkbage,[Flight] Inject Client Into DevTools
30906,2024-09-09T19:11:35Z,sebmarkbage,[DevTools] Add Flight Renderer
30899,2024-09-09T19:10:04Z,sebmarkbage,[DevTools] Refactor Error / Warning Count Tracking
30919,2024-09-09T15:41:44Z,SamChou19815,[flow] Upgrade Flow to 0.245.2
30708,2024-09-09T12:12:49Z,hoxyq,[DevTools] Separate RDT Fusebox into single-panel entry points
30907,2024-09-08T00:50:22Z,mvitousek,[compiler][playground] Fix displayed naming of outlined functions
30897,2024-09-07T01:59:09Z,sebmarkbage,[DevTools] Build Updater List from the Commit instead of Map
30896,2024-09-07T01:58:20Z,sebmarkbage,[DevTools] Simplify Context Change Tracking in Profiler
30895,2024-09-07T01:46:09Z,sebmarkbage,[DevTools] Remove use of .alternate in root and recordProfilingDurations
30887,2024-09-07T01:45:52Z,sebmarkbage,[DevTools] Handle reordered contexts in Profiler
30889,2024-09-06T21:32:21Z,josephsavona,Fix useMemoCache with setState in render
30893,2024-09-06T17:02:12Z,mofeiZ,[compiler] Add enablePropagateDepsInHIR flag
30891,2024-09-06T17:02:10Z,mofeiZ,[compiler][cleanup] Remove unused enableReactiveScopesInHIR flag
30882,2024-09-06T00:54:40Z,sebmarkbage,[Fiber] Move runWithFiberInDEV from CommitWork to CommitEffects
30881,2024-09-06T00:53:28Z,sebmarkbage,[Fiber] Extract Functions that Call User Space and Host Configs in Commit to Separate Modules
30870,2024-09-05T19:48:17Z,sebmarkbage,[DevTools] Refactor Forcing Fallback / Error of Suspense / Error Boundaries
30849,2024-09-05T17:30:35Z,mofeiZ,[compiler runtime] repro: infinite render with useMemoCache + render phase updates
30878,2024-09-05T00:25:35Z,sebmarkbage,[DevTools] Avoid getFiberIDUnsafe in debug() Helper
30865,2024-09-04T23:35:28Z,sebmarkbage,[DevTools] Include some Filtered Fiber Instances
30869,2024-09-04T20:28:36Z,josephsavona,[compiler] Type inference for tagged template literals
30875,2024-09-04T20:15:53Z,sebmarkbage,[DevTools] Track root instances in a root Map
30800,2024-09-04T17:55:29Z,acdlite,Schedule prerender after something suspends
30762,2024-09-04T16:38:36Z,acdlite,Temporarily disable suspending during work loop
30831,2024-09-03T21:28:06Z,sebmarkbage,[DevTools] Track all public HostInstances in a Map
30866,2024-09-03T20:04:24Z,sebmarkbage,[Fiber] Stash ThenableState on the Dependencies Object for Use By DevTools
30853,2024-09-03T16:29:59Z,sebmarkbage,[DevTools] Support VirtualInstances in findAllCurrentHostInstances
30850,2024-09-03T16:29:16Z,sebmarkbage,[DevTools] Add Filtering of Environment Names
30847,2024-08-30T19:11:57Z,sebmarkbage,[Flight] Ship DEV-only enableServerComponentLogs flag in Stable/Canary
30837,2024-08-30T09:34:52Z,hoxyq,fix[react-devtools/ReactDebugHooks]: support unstable prefixes in hooks and useContextWithBailout
30848,2024-08-30T09:34:27Z,hoxyq,[DevTools] Increase max payload for websocket in standalone app
30844,2024-08-30T05:41:56Z,josephsavona,[compiler] Errors in earlier functions dont stop subsequent compilation
30839,2024-08-29T16:49:30Z,sebmarkbage,[DevTools] Filter Server Components
30802,2024-08-29T16:45:03Z,sebmarkbage,[DevTools] Track virtual instances on the tracked path for selections
30841,2024-08-29T16:44:48Z,sebmarkbage,[DevTools] Remove displayName from inspected data
30827,2024-08-29T10:34:31Z,hoxyq,chore[react-devtools/hook]: remove unused native values
30826,2024-08-29T10:32:18Z,hoxyq,chore[react-devtools/extensions]: remove unused storage permission
30825,2024-08-29T10:31:43Z,hoxyq,fix[react-devtools/extensions]: fixed tabs API calls and displaying restricted access popup
30824,2024-08-29T10:28:35Z,hoxyq,feat[react-devtools]: support Manifest v3 for Firefox extension
30840,2024-08-28T22:59:40Z,josephsavona,[compiler] Inferred deps must match exact optionality of manual deps
30838,2024-08-28T22:59:39Z,josephsavona,[compiler] Enable optional dependencies by default
30836,2024-08-28T22:59:37Z,josephsavona,[compiler] Handle optional where innermost property access is non-optional
30819,2024-08-28T22:59:35Z,josephsavona,[compiler] Infer optional dependencies (behind feature flag)
30816,2024-08-28T22:59:34Z,josephsavona,[compiler] Allow inferred non-optional paths when manual deps were optional
30814,2024-08-28T22:59:32Z,josephsavona,[compiler] Add fallthrough to branch terminal
30813,2024-08-28T22:59:31Z,josephsavona,[compiler] Add DependencyPath optional property
