pr_number,merged_at,author,title
32164,2025-01-31T23:57:27Z,mofeiZ,[compiler][rfc] Hacky retry pipeline for fire
32210,2025-01-31T22:35:48Z,gnoff,Reconciler: Combine identical cases in findParent
32279,2025-01-31T19:32:23Z,poteto,build(eslint-plugin-react-hooks): add dev dependencies for typescript migration
32117,2025-01-31T06:59:45Z,yungsters,Permit non-`DEV` Elements in `React.Children` w/ `DEV`
32277,2025-01-31T06:44:03Z,poteto,Fix typo in dangerfile.js which results in an unreachable code path…
32262,2025-01-30T20:08:17Z,hoxyq,chore[DevTools]: make clipboardWrite optional for chromium
32275,2025-01-30T19:13:46Z,poteto,[ci] Only install chromium for flight fixtures
32254,2025-01-30T17:13:37Z,sebmarkbage,[Fiber] Track Appearing Named ViewTransition in the accumulateSuspenseyCommit Phase
32267,2025-01-30T16:55:29Z,poteto,[ci] Remove build_devtools_and_process_artifacts as a dependency to run_devtools_e2e_tests
32266,2025-01-30T16:49:04Z,poteto,[ci] Try to parallelize devtools builds
32273,2025-01-30T16:46:43Z,sebmarkbage,[Fiber] Read the class name from props.layout
32272,2025-01-30T15:23:18Z,facebook-github-bot,Expose new method in Fabric renderer to access root instance from root tag
32260,2025-01-29T17:07:00Z,rubennorte,[RN] Add support for document instance in React Native
32163,2025-01-29T06:42:50Z,gnoff,[Fiber] Support Suspense boundaries anywhere (excluding hydration)
32132,2025-01-27T20:39:56Z,sebmarkbage,[Flight Parcel] Pass import maps through client references
32238,2025-01-27T19:40:46Z,rickhanlonii,Update MAINTAINERS
32225,2025-01-27T16:59:26Z,poteto,fix(react-compiler-healthcheck): Add shebang to banner
32219,2025-01-24T20:55:16Z,josephsavona,[compiler][be] Remove unused experimental Rust port
32217,2025-01-24T20:06:15Z,poteto,[ci] Fix typo
32216,2025-01-24T19:56:37Z,poteto,[ci] Parse inputs for maintainer check workflow
32215,2025-01-24T19:41:25Z,poteto,[ci] Make maintainer check workflow usable from other repositories
